"Designator","Mid X","Mid Y","Rotation","Layer"
"C101","17.7","43.2","90.0","top"
"C102","14.6","30.4","180.0","top"
"C103","16.54","32.6","180.0","top"
"C104","17.7","29.2","90.0","top"
"C105","19.5","16.7","0.0","top"
"C106","16.54","18.6","180.0","top"
"C107","18.5","32.4","180.0","top"
"C108","18.5","18.4","180.0","top"
"C109","18.9","33.5","180.0","top"
"C110","18.9","19.5","180.0","top"
"C111","24.1","18.0","270.0","top"
"C112","28.0","13.7","0.0","top"
"C113","12.1","47.2","90.0","top"
"C114","50.0","29.5","0.0","top"
"C115","50.0","28.0","0.0","top"
"C201","44.9","19.6","0.0","top"
"C202","42.6","10.4","0.0","top"
"C203","42.2","11.9","0.0","top"
"C204","45.5","7.6","180.0","top"
"C205","45.5","5.5","180.0","top"
"C206","51.5","7.6","0.0","top"
"C208","41.6","17.8","90.0","top"
"C209","32.5","7.9","270.0","top"
"C210","19.5","14.3","0.0","top"
"C211","37.3","10.0","270.0","top"
"C212","39.7","10.0","270.0","top"
"C213","3.4","32.9","180.0","top"
"C214","49.65","24.7","90.0","top"
"C215","15.2","46.5","180.0","top"
"C216","7.2","32.9","0.0","top"
"C217","48.0","33.3","90.0","top"
"C218","48.0","42.3","90.0","top"
"C219","48.0","24.3","90.0","top"
"C226","33.1","16.2","0.0","top"
"D101","11.5","27.3","180.0","top"
"D102","11.5","17.8","180.0","top"
"D103","11.5","25.7","0.0","top"
"D104","11.5","16.2","0.0","top"
"D201","25.1","2.3","90.0","top"
"D202","41.3","5.4","0.0","top"
"FID101","1.8","50.6","0.0","top"
"FID102","1.5","1.2","0.0","top"
"FID103","64.4","47.8","0.0","top"
"FID104","1.9","47.6","180.0","top"
"FID105","7.0","3.5","0.0","top"
"FID106","64.3","26.8","0.0","top"
"J101","7.5","26.5","270.0","top"
"J102","4.0","29.0","0.0","top"
"J103","7.5","17.0","270.0","top"
"J104","4.0","19.5","0.0","top"
"J105","5.4","39.8","90.0","top"
"J106","22.81","46.5","0.0","top"
"J107","7.1","49.0","180.0","top"
"J201","19.23","1.87","90.0","top"
"J202","4.0","9.2","0.0","top"
"J203","10.5","4.7","0.0","top"
"J301","7.0","26.5","270.0","top"
"J303","7.0","17.0","270.0","top"
"L201","49.0","14.0","270.0","top"
"Q101","26.7","31.2","0.0","top"
"Q102","26.7","20.4","0.0","top"
"Q201","22.6","7.5","0.0","top"
"R103","19.25","44.1","0.0","top"
"R104","19.25","30.1","0.0","top"
"R105","25.3","34.0","270.0","top"
"R106","24.1","22.2","270.0","top"
"R107","24.2","32.4","270.0","top"
"R108","24.1","20.2","270.0","top"
"R109","24.2","30.39","270.0","top"
"R110","23.0","19.0","270.0","top"
"R111","23.7","16.2","0.0","top"
"R112","23.7","15.1","180.0","top"
"R113","11.2","28.6","0.0","top"
"R114","11.2","19.1","0.0","top"
"R115","50.5","36.2","180.0","top"
"R116","50.5","37.2","180.0","top"
"R201","39.2","13.2","0.0","top"
"R202","43.1","18.5","90.0","top"
"R203","37.5","13.4","270.0","top"
"R205","39.7","16.4","90.0","top"
"R206","39.7","18.39","90.0","top"
"R207","38.7","18.4","90.0","top"
"R208","37.7","18.4","270.0","top"
"R209","43.2","3.9","0.0","top"
"R210","28.0","4.7","270.0","top"
"SW101","60.5","21.5","0.0","top"
"U101","42.5","26.5","180.0","top"
"U102","42.5","44.5","180.0","top"
"U103","42.5","35.5","180.0","top"
"U104","18.0","38.0","180.0","top"
"U105","18.0","24.0","180.0","top"
"U106","26.5","16.5","-90.0","top"
"U201","42.0","14.5","-90.0","top"
